compliance,acceleration,deceleration,clust_ca,clust_cd,clust_ad,clust_cad,result
1,5,1,10,2,8,1,27
1,4,3,7,2,9,1,42
1,5,1,10,2,8,1,24
1,1,3,5,2,2,1,25
5,5,5,9,1,7,2,91
3,5,4,15,1,7,2,83
1,5,3,10,2,11,1,46
5,5,5,9,1,7,2,100
3,5,5,15,1,7,2,79
4,5,4,14,1,7,2,89
4,5,4,14,1,7,2,85
5,5,5,9,1,7,2,90
5,5,5,9,1,7,2,99
3,3,1,2,2,6,1,35
5,1,1,4,2,1,1,32
1,1,1,5,2,1,1,23
5,4,4,6,1,4,2,90
1,2,1,11,2,1,1,24
3,5,5,15,1,7,2,87
3,4,3,13,2,9,1,68
1,1,5,5,1,13,1,53
1,3,4,7,2,10,1,50
5,3,4,3,1,10,2,89
2,5,5,8,1,7,2,60
1,1,1,5,2,1,1,24
1,5,4,10,2,7,1,43
5,5,5,9,1,7,2,98
4,5,4,14,1,7,2,88
1,2,1,11,2,1,1,24
3,5,4,15,1,7,2,74
3,5,3,15,2,11,2,62
5,4,5,6,1,3,2,99
2,5,5,8,1,7,2,68
5,5,4,9,1,7,2,91
5,5,5,9,1,7,2,98
1,2,3,11,2,2,1,25
3,5,5,15,1,7,2,76
1,1,1,5,2,1,1,25
1,5,3,10,2,11,1,31
4,5,5,14,1,7,2,96
1,1,1,5,2,1,1,28
2,5,5,8,1,7,2,68
5,3,2,3,1,6,1,67
1,3,3,7,2,10,1,40
1,3,4,7,2,10,1,50
5,5,3,9,1,11,2,82
1,4,1,7,2,8,1,27
3,5,4,15,1,7,2,81
1,3,5,7,1,3,1,49
5,5,5,9,1,7,2,90
1,5,3,10,2,11,1,32
5,5,5,9,1,7,2,92
4,5,5,14,1,7,2,89
1,5,4,10,2,7,1,39
4,5,5,14,1,7,2,99
1,5,5,10,1,7,2,58
1,5,3,10,2,11,1,46
1,3,1,7,2,6,1,31
1,1,1,5,2,1,1,24
4,5,5,14,1,7,2,94
4,5,4,14,1,7,2,89
4,5,4,14,1,7,2,81
1,3,1,7,2,6,1,31
3,2,4,12,1,5,1,68
5,5,5,9,1,7,2,98
1,4,3,7,2,9,1,30
3,4,3,13,2,9,1,73
2,3,4,2,2,10,1,53
4,5,4,14,1,7,2,89
3,5,5,15,1,7,2,82
5,5,5,9,1,7,2,95
5,5,5,9,1,7,2,94
3,5,5,15,1,7,2,87
2,1,1,5,2,1,1,24
4,5,4,14,1,7,2,89
3,3,5,2,1,3,2,66
1,5,1,10,2,8,1,24
1,4,3,7,2,9,1,42
3,5,4,15,1,7,2,74
4,5,5,14,1,7,2,98
3,4,5,13,1,3,2,78
1,5,3,10,2,11,1,38
3,2,5,12,1,12,2,76
3,5,3,15,2,11,2,63
1,2,1,11,2,1,1,23
5,5,5,9,1,7,2,97
4,5,5,14,1,7,2,99
3,3,3,2,2,10,1,65
2,5,3,8,2,11,1,63
2,5,3,8,2,11,1,55
1,4,4,7,2,4,1,51
3,5,5,15,1,7,2,82
5,5,5,9,1,7,2,95
5,3,4,3,1,10,2,92
5,1,5,4,1,13,2,94
4,5,5,14,1,7,2,97
1,3,2,7,2,6,1,33
4,5,5,14,1,7,2,95
1,1,1,5,2,1,1,23
3,5,3,15,2,11,2,73
5,5,5,9,1,7,2,94
3,5,4,15,1,7,2,81
5,5,5,9,1,7,2,99
2,4,3,1,2,9,1,63
3,4,3,13,2,9,1,73
2,4,3,1,2,9,1,53
5,5,5,9,1,7,2,94
1,3,1,7,2,6,1,31
1,5,3,10,2,11,1,31
3,5,3,15,2,11,2,76
2,3,1,2,2,6,1,29
3,5,5,15,1,7,2,77
5,5,3,9,1,11,2,95
1,2,3,11,2,2,1,25
5,5,3,9,1,11,2,85
3,3,5,2,1,3,2,66
1,4,3,7,2,9,1,38
1,5,5,10,1,7,2,45
4,5,5,14,1,7,2,88
5,5,5,9,1,7,2,92
