compliance,acceleration,deceleration,result,loss
1,5,1,27,2
1,4,3,42,5
1,5,1,24,5
4,5,5,75,14
1,1,3,25,8
5,5,5,91,8
3,5,4,83,10
1,5,3,46,7
2,3,2,30,15
3,5,5,95,17
5,5,5,100,1
3,5,5,79,1
4,4,3,91,16
4,5,4,89,6
3,5,4,59,14
4,5,4,85,2
5,5,5,90,9
5,5,5,99,0
3,3,1,35,8
5,1,1,32,10
1,3,1,38,12
1,1,1,23,0
2,5,5,45,18
5,4,4,90,0
3,5,5,91,13
3,3,1,56,13
1,2,1,24,1
3,5,5,87,9
3,4,3,68,4
1,1,5,53,3
1,3,4,50,10
5,3,4,89,2
2,5,5,60,3
1,1,1,24,1
1,5,4,43,1
5,5,5,98,1
4,5,4,88,5
1,2,1,24,1
3,5,4,74,1
3,5,3,62,5
5,4,5,99,4
2,5,5,68,5
5,5,4,91,2
5,5,5,98,1
1,2,3,25,9
3,5,5,76,2
1,1,1,25,2
1,5,3,31,8
4,5,5,96,7
1,1,1,28,5
2,5,5,68,5
5,3,2,67,1
1,3,3,40,4
1,3,4,50,10
5,5,3,82,3
1,4,1,27,0
3,5,4,81,8
2,5,3,43,11
1,3,5,49,3
5,5,5,90,9
1,5,3,32,7
5,5,5,92,7
4,5,5,89,0
2,5,4,48,11
1,5,4,39,5
4,5,5,99,10
3,5,5,93,15
1,5,5,58,10
1,5,3,46,7
3,3,3,75,14
1,3,1,31,5
1,1,1,24,1
4,5,5,94,5
4,5,4,89,6
3,5,3,82,15
4,5,4,81,2
1,3,1,31,5
3,2,4,68,5
3,3,3,74,13
5,5,5,98,1
1,4,3,30,7
5,5,5,87,12
3,4,3,73,9
2,3,4,53,2
4,5,4,89,6
3,5,5,82,4
4,5,5,77,12
4,4,4,97,17
3,4,5,90,16
5,5,5,95,4
5,5,5,94,5
3,5,5,87,9
2,1,1,24,7
4,5,4,89,6
3,3,5,66,4
1,5,1,24,5
5,5,4,76,17
4,4,3,91,16
1,4,3,42,5
3,5,4,74,1
2,5,4,46,13
4,5,5,98,9
1,5,5,63,15
3,4,5,78,4
1,5,3,38,1
3,2,5,76,7
3,5,3,63,4
1,2,1,23,2
4,5,2,77,11
4,4,4,92,12
4,5,5,75,14
5,5,5,97,2
4,5,5,99,10
3,4,5,90,16
3,3,3,65,4
3,3,1,56,13
2,5,3,63,9
2,5,3,55,1
1,4,4,51,9
2,5,3,41,13
2,4,3,41,12
3,4,3,49,15
3,5,5,82,4
5,5,5,95,4
5,3,4,92,5
5,1,5,94,6
4,5,5,97,8
1,3,2,33,2
4,5,5,95,6
1,1,1,23,0
3,5,5,93,15
3,5,3,73,6
2,5,5,48,15
5,5,5,94,5
3,5,4,81,8
5,5,5,99,0
2,4,3,63,10
3,4,3,73,9
5,3,3,95,16
3,5,5,94,16
3,5,5,92,14
2,4,3,53,0
5,5,5,94,5
1,3,1,31,5
1,3,3,25,11
1,5,3,31,8
3,5,3,76,9
4,4,4,91,11
2,3,1,29,7
3,5,5,93,15
3,5,5,77,1
5,5,3,95,10
1,2,3,25,9
5,5,5,88,11
5,5,3,85,0
2,5,3,43,11
3,4,3,80,16
3,5,5,89,11
3,3,5,66,4
1,4,3,38,1
1,5,5,45,3
4,5,5,88,1
5,5,5,92,7
