compliance,acceleration,deceleration,result,cluster_cd,cluster_ca
3,5,4,94,4,2
1,5,1,27,1,5
1,4,3,42,1,5
1,5,1,24,1,5
4,5,5,75,3,2
1,1,3,25,1,3
3,4,5,45,4,2
5,5,5,91,2,2
3,5,4,83,4,2
1,5,3,46,1,5
2,3,2,30,1,1
3,5,5,95,4,2
5,5,5,100,2,2
3,5,5,79,4,2
4,4,3,91,5,2
4,5,4,89,3,2
3,5,4,59,4,2
4,5,4,85,3,2
5,5,5,90,2,2
3,5,3,92,1,2
5,5,5,99,2,2
3,3,1,35,1,4
5,1,1,32,5,4
1,3,1,38,1,1
1,1,1,23,1,3
2,5,5,45,4,5
4,5,5,70,3,2
5,4,4,90,2,2
5,3,1,94,5,4
5,5,1,31,5,2
3,5,5,91,4,2
3,3,1,56,1,4
1,2,1,24,1,1
3,5,5,87,4,2
3,4,3,68,1,2
1,1,5,53,4,3
1,3,4,50,4,1
5,4,3,62,5,2
5,3,4,89,2,4
2,5,5,60,4,5
5,5,1,31,5,2
1,1,1,24,1,3
1,5,4,43,4,5
5,5,5,98,2,2
4,5,4,88,3,2
1,2,1,24,1,1
3,5,4,74,4,2
3,5,3,62,1,2
5,4,5,99,2,2
2,5,5,68,4,5
5,5,4,91,2,2
5,5,5,98,2,2
1,2,3,25,1,1
3,5,5,76,4,2
1,1,1,25,1,3
1,5,3,31,1,5
4,5,5,96,3,2
1,1,1,28,1,3
2,5,5,68,4,5
5,3,2,67,5,4
4,5,2,89,5,2
1,3,3,40,1,1
1,3,4,50,4,1
5,5,3,82,5,2
1,4,1,27,1,5
3,5,4,81,4,2
2,5,3,43,1,5
1,3,5,49,4,1
5,5,5,90,2,2
1,5,3,32,1,5
5,5,5,92,2,2
4,5,5,89,3,2
2,5,4,48,4,5
1,5,4,39,4,5
4,5,5,99,3,2
3,5,5,93,4,2
1,5,5,58,4,5
1,5,3,46,1,5
3,3,3,75,1,4
1,3,1,31,1,1
1,1,1,24,1,3
4,5,5,94,3,2
4,5,4,89,3,2
3,5,3,82,1,2
4,5,4,81,3,2
1,3,1,31,1,1
5,4,3,62,5,2
3,2,4,68,4,4
3,3,3,74,1,4
5,5,5,98,2,2
1,4,3,30,1,5
5,5,5,87,2,2
3,4,3,73,1,2
2,3,4,53,4,1
4,5,4,89,3,2
3,5,5,82,4,2
4,5,5,77,3,2
4,4,4,97,3,2
3,4,5,90,4,2
5,5,5,95,2,2
5,5,5,94,2,2
3,5,5,87,4,2
1,5,5,28,4,5
2,1,1,24,1,3
4,5,4,89,3,2
3,3,5,66,4,4
1,5,1,24,1,5
5,5,4,76,2,2
4,4,3,91,5,2
1,4,3,42,1,5
3,5,4,74,4,2
2,5,4,46,4,5
4,5,5,98,3,2
1,5,5,63,4,5
3,5,3,92,1,2
3,4,5,78,4,2
1,5,3,38,1,5
3,2,5,76,4,4
2,5,5,82,4,5
3,5,3,63,1,2
1,2,1,23,1,1
3,5,5,98,4,2
4,5,2,77,5,2
4,4,4,92,3,2
4,5,5,75,3,2
5,5,5,97,2,2
4,5,5,99,3,2
3,4,3,90,1,2
3,4,5,90,4,2
3,3,3,65,1,4
3,3,1,56,1,4
2,5,3,63,1,5
2,5,3,55,1,5
1,4,4,51,4,5
3,5,5,56,4,2
2,5,3,41,1,5
2,4,3,41,1,5
3,4,3,49,1,2
3,5,5,82,4,2
5,5,5,95,2,2
5,3,4,92,2,4
5,1,5,94,2,4
4,5,5,97,3,2
1,3,2,33,1,1
4,5,5,95,3,2
1,1,1,23,1,3
3,5,5,93,4,2
3,5,3,73,1,2
2,5,5,48,4,5
5,5,5,94,2,2
3,5,4,81,4,2
5,5,5,99,2,2
3,5,5,97,4,2
2,4,3,63,1,5
3,4,3,73,1,2
5,3,3,95,5,4
3,5,5,94,4,2
3,5,5,92,4,2
2,4,3,53,1,5
5,5,5,94,2,2
1,3,1,31,1,1
1,3,3,25,1,1
1,5,3,31,1,5
3,5,3,76,1,2
4,4,4,91,3,2
2,3,1,29,1,1
3,5,5,93,4,2
1,5,5,28,4,5
3,5,5,77,4,2
5,5,3,95,5,2
1,2,3,25,1,1
5,5,5,88,2,2
3,3,5,43,4,4
5,5,3,85,5,2
2,5,3,43,1,5
3,4,3,80,1,2
3,5,5,89,4,2
3,3,5,66,4,4
1,4,3,38,1,5
1,5,5,45,4,5
4,5,5,88,3,2
5,5,5,92,2,2
